	Joy	Sadness	Neutral	Disgust	Anger	Surprise	Fear
00	0.449194889927	-0.0909793149097	-0.239425623874	0.600366134601	-0.410278599284	0.596292786313	0.21301439906
01	-0.261886834822	-0.740228695986	2.18390947205	-0.697863224666	0.318892795466	-1.0096146502	-0.827156923394
02	-0.848694563404	-0.991733894751	1.79811735843	-1.18339272835	0.218345097547	1.32223128515	-0.56219370242
03	-1.06160152313	-0.116348746152	1.50569556258	-1.07441859124	0.877590451472	0.0064024692852	0.323797877038
04	-1.68115851803	0.274058199813	1.74650086159	-1.37442489446	1.26876859875	-0.1923095029	-0.138654274406
05	-0.560057547453	-0.655115946061	1.44458739136	-0.198783673212	0.372767649727	0.729941094772	-0.922293105986
06	-0.48695235836	-0.603147112415	1.54364942982	-0.368054730494	0.024931125758	-0.525447443888	-0.249838282168
07	-0.946737954859	-0.30892157553	1.74240316755	-1.00418368369	0.817778455696	-0.715501265166	-0.311931408781
08	0.199737212421	0.401872252713	0.403845985154	-1.19649735222	-0.406644941727	-0.75388156671	0.280433297577
09	-0.229324453565	-0.178166942516	1.67876393437	-0.453856395317	-0.13833601929	-0.732637197918	-0.762845123306
10	0.284917269752	-0.640115940766	1.29861875466	-0.714526753931	0.338369511175	0.246061359028	-0.460113305889
10 00	0.959481847408	0.634696081	-0.303289473067	-0.861356994532	-0.105839308316	-0.618480636098	0.156468866324
10 30	-0.329417443677	0.0094369154662	0.300015989155	-0.0567204991561	-0.0422411831829	0.0842926306432	0.121628908304
10 days	0.00528568448912	0.63231629378	-0.732976170234	-0.246806796842	-0.419688412988	0.224646593953	0.634019753266
10 mins	-0.354198087705	0.937908039464	-0.451559134464	-0.376577027602	0.158224680064	-0.121534232645	0.271854773395
10 minutes	-0.230388873446	-0.0374588039789	-0.748458325614	0.108485525968	0.280482502203	0.0507507181244	0.429700211364
10 times	-0.666670302859	0.766782419223	-1.81325837414	0.0363660944935	1.35949531768	-0.207710977791	-1.01127966359
10 years	-0.572819831669	0.0651111016155	0.649005542613	0.460068130343	-0.100230296985	0.650209402463	0.595766647422
100	0.432768631891	-0.142057302418	0.629680278517	0.0991585105821	-0.0353393125959	0.389152962847	-0.590249905442
101	0.0274189955041	-0.192879229745	1.27481294473	0.451164755353	-0.162422776004	0.523018102389	-0.715325159894
10am	0.593913611854	-0.900878028836	0.0634410313619	-0.00635973426987	0.869859569141	-0.354163946407	-0.517014994521
10k	0.949682788309	-0.808825105012	-0.715963845768	-0.653606199721	-0.129342347371	0.0985051432235	0.948736224687
10pm	-0.364251253541	-0.271779742066	2.19379636229	-0.409392583931	-0.0699043342783	0.0463726053239	-1.49798989046
10th	0.298017900956	-0.150881693244	0.931197859803	-1.05806267148	0.0106581265326	0.478458666017	0.211544745225
11	0.226467180507	-0.20051744444	1.11020975215	-0.214235918868	-0.136150836623	-0.0580413344215	-0.0144564583462
12	-0.22142453484	-0.260914720807	1.76222728449	-0.671539470954	0.0844207005309	0.0997542823965	-0.447917517405
